1; Crusader; 29; 10; Mid; Rikki
614; Guardian; 18; 6; Support; Wraith king
615; Ancient; 67; 2; Carry; Axe
616; Archon; 25; 16; Support; Jakiro
617; Ancient; 10; 18; Carry; Witch doctor
618; Ancient; 84; 23; Semi-support; Witch doctor
619; Legend; 17; 20; Support; Witch doctor
620; Legend; 50; 28; Semi-support; Techies
621; Archon; 58; 0; Semi-support; Rikki
622; Guardian; 16; 5; Carry; Pudge
623; Herald; 66; 24; Mid; Witch doctor
624; Ancient; 19; 15; Mid; Witch doctor
625; Guardian; 39; 26; Mid; Wraith king
626; Guardian; 65; 30; Hardlane; Phantom lancer
627; Legend; 64; 7; Semi-support; Invoker
628; Ancient; 72; 22; Hardlane; Phantom lancer
629; Herald; 77; 17; Semi-support; Witch doctor
630; Guardian; 41; 19; Carry; Monkey king
631; Crusader; 76; 25; Carry; Witch doctor
632; Legend; 33; 30; Mid; Wraith king
633; Legend; 47; 27; Carry; Weaver
634; Ancient; 48; 4; Hardlane; Arc warden
635; Guardian; 15; 8; Support; Phantom lancer
636; Archon; 37; 27; Mid; Warlock
637; Archon; 32; 9; Semi-support; Rikki
638; Archon; 16; 11; Semi-support; Axe
639; Herald; 85; 29; Mid; Arc warden
640; Archon; 12; 19; Semi-support; Warlock
641; Legend; 45; 16; Support; Crystall maiden
642; Guardian; 59; 8; Support; Rikki
643; Guardian; 49; 23; Mid; Rikki
644; Ancient; 90; 3; Support; Axe
645; Ancient; 43; 20; Mid; Rikki
646; Ancient; 43; 23; Support; Weaver
647; Herald; 21; 18; Support; Crystall maiden
648; Herald; 79; 4; Hardlane; Weaver
649; Guardian; 72; 30; Support; Weaver
650; Legend; 89; 2; Support; Wraith king
651; Archon; 80; 20; Support; Crystall maiden
652; Herald; 41; 29; Semi-support; Warlock
653; Herald; 14; 11; Carry; Jakiro
654; Herald; 29; 11; Mid; Techies
655; Archon; 48; 24; Semi-support; Crystall maiden
656; Ancient; 52; 15; Mid; Rikki
657; Legend; 38; 29; Carry; Arc warden
658; Herald; 72; 26; Mid; Rikki
659; Guardian; 63; 6; Hardlane; Phantom lancer
660; Ancient; 77; 21; Hardlane; Arc warden
661; Guardian; 27; 20; Carry; Jakiro
662; Crusader; 41; 6; Hardlane; Wraith king
663; Crusader; 29; 13; Support; Witch doctor
664; Crusader; 11; 4; Mid; Wraith king
665; Ancient; 59; 13; Semi-support; Weaver
666; Crusader; 70; 14; Support; Crystall maiden
667; Archon; 43; 19; Carry; Jakiro
668; Legend; 85; 15; Mid; Axe
669; Herald; 26; 0; Semi-support; Crystall maiden
670; Herald; 46; 2; Carry; Rikki
671; Archon; 63; 22; Carry; Monkey king
672; Ancient; 72; 25; Semi-support; Techies
673; Herald; 34; 28; Hardlane; Rikki
674; Legend; 27; 24; Carry; Bristleback
675; Guardian; 88; 25; Mid; Monkey king
676; Archon; 85; 22; Carry; Jakiro
677; Guardian; 59; 0; Carry; Arc warden
678; Legend; 33; 20; Hardlane; Jakiro
679; Guardian; 78; 1; Hardlane; Axe
680; Herald; 71; 11; Mid; Bristleback
681; Herald; 68; 3; Carry; Invoker
682; Legend; 24; 19; Support; Crystall maiden
683; Legend; 77; 18; Semi-support; Warlock
684; Herald; 87; 17; Mid; Techies
685; Ancient; 44; 5; Carry; Techies
686; Guardian; 71; 6; Hardlane; Monkey king
687; Guardian; 81; 11; Carry; Crystall maiden
688; Ancient; 16; 18; Hardlane; Bristleback
689; Ancient; 31; 4; Mid; Warlock
690; Legend; 32; 30; Carry; Jakiro
691; Herald; 15; 23; Semi-support; Warlock
692; Herald; 43; 21; Hardlane; Techies
693; Herald; 18; 22; Hardlane; Arc warden
694; Archon; 27; 11; Semi-support; Arc warden
695; Guardian; 44; 26; Mid; Axe
696; Herald; 25; 30; Support; Rikki
697; Legend; 42; 9; Carry; Techies
698; Guardian; 27; 16; Mid; Weaver
699; Herald; 35; 0; Hardlane; Pudge
700; Herald; 85; 30; Hardlane; Crystall maiden
701; Herald; 20; 6; Support; Bristleback
702; Guardian; 84; 19; Mid; Monkey king
703; Guardian; 14; 2; Carry; Crystall maiden
704; Legend; 12; 20; Carry; Arc warden
705; Herald; 22; 5; Semi-support; Wraith king
706; Crusader; 43; 15; Carry; Wraith king
707; Legend; 58; 13; Support; Bristleback
708; Ancient; 14; 21; Mid; Axe
709; Herald; 10; 14; Carry; Arc warden
710; Legend; 27; 29; Support; Invoker
711; Herald; 70; 5; Mid; Wraith king
712; Guardian; 69; 28; Carry; Wraith king
713; Crusader; 45; 6; Mid; Warlock
714; Guardian; 59; 29; Mid; Phantom lancer
715; Crusader; 44; 6; Hardlane; Rikki
716; Crusader; 68; 28; Semi-support; Wraith king
717; Guardian; 16; 11; Mid; Axe
718; Archon; 16; 7; Support; Warlock
719; Archon; 22; 21; Semi-support; Invoker
720; Guardian; 19; 4; Hardlane; Techies
721; Legend; 65; 5; Carry; Wraith king
722; Herald; 85; 3; Semi-support; Arc warden
723; Archon; 89; 12; Carry; Pudge
724; Guardian; 20; 18; Hardlane; Bristleback
725; Crusader; 55; 13; Support; Weaver
726; Legend; 81; 12; Support; Weaver
727; Crusader; 21; 6; Support; Warlock
728; Ancient; 42; 7; Support; Phantom lancer
729; Herald; 90; 27; Support; Jakiro
730; Legend; 29; 21; Mid; Witch doctor
731; Herald; 53; 17; Hardlane; Phantom lancer
732; Guardian; 49; 30; Support; Invoker
733; Guardian; 35; 7; Carry; Crystall maiden
734; Herald; 69; 15; Hardlane; Phantom lancer
735; Legend; 48; 5; Support; Phantom lancer
736; Herald; 14; 20; Hardlane; Jakiro
737; Ancient; 35; 25; Hardlane; Invoker
738; Herald; 90; 5; Hardlane; Techies
739; Guardian; 90; 26; Carry; Arc warden
740; Legend; 49; 15; Hardlane; Jakiro
741; Guardian; 43; 5; Semi-support; Rikki
742; Ancient; 61; 8; Hardlane; Rikki
743; Ancient; 17; 28; Support; Jakiro
744; Archon; 74; 2; Semi-support; Jakiro
745; Herald; 15; 30; Hardlane; Rikki
746; Legend; 58; 3; Mid; Phantom lancer
747; Guardian; 47; 30; Carry; Monkey king
748; Herald; 84; 4; Hardlane; Wraith king
749; Crusader; 90; 16; Semi-support; Weaver
750; Legend; 16; 4; Hardlane; Techies
751; Crusader; 34; 12; Semi-support; Phantom lancer
752; Herald; 17; 24; Semi-support; Monkey king
753; Archon; 15; 10; Semi-support; Phantom lancer
754; Guardian; 46; 4; Carry; Techies
755; Crusader; 15; 29; Hardlane; Arc warden
756; Archon; 76; 21; Support; Arc warden
757; Herald; 85; 25; Hardlane; Axe
758; Archon; 43; 6; Hardlane; Monkey king
759; Ancient; 17; 8; Mid; Techies
760; Legend; 41; 6; Hardlane; Arc warden
761; Ancient; 11; 9; Semi-support; Invoker
762; Herald; 58; 27; Mid; Phantom lancer
763; Archon; 16; 24; Semi-support; Arc warden
764; Crusader; 20; 10; Hardlane; Crystall maiden
765; Legend; 38; 18; Semi-support; Weaver
766; Ancient; 45; 22; Semi-support; Bristleback
767; Crusader; 27; 22; Mid; Wraith king
768; Guardian; 71; 28; Hardlane; Warlock
769; Guardian; 59; 19; Mid; Wraith king
770; Ancient; 61; 8; Support; Rikki
771; Herald; 43; 14; Semi-support; Warlock
772; Archon; 43; 18; Mid; Weaver
773; Ancient; 56; 21; Hardlane; Techies
774; Crusader; 56; 30; Mid; Axe
775; Archon; 89; 20; Semi-support; Techies
776; Archon; 36; 19; Semi-support; Witch doctor
777; Crusader; 73; 19; Support; Phantom lancer
778; Herald; 33; 21; Carry; Arc warden
779; Guardian; 26; 9; Mid; Rikki
780; Ancient; 21; 29; Support; Invoker
781; Crusader; 90; 18; Hardlane; Bristleback
782; Archon; 90; 20; Mid; Warlock
783; Legend; 42; 5; Mid; Pudge
784; Ancient; 85; 22; Carry; Pudge
785; Ancient; 61; 10; Semi-support; Wraith king
786; Herald; 62; 16; Semi-support; Pudge
787; Herald; 62; 5; Semi-support; Witch doctor
788; Guardian; 60; 3; Mid; Phantom lancer
789; Herald; 66; 8; Hardlane; Wraith king
790; Guardian; 88; 29; Support; Wraith king
791; Crusader; 27; 7; Support; Pudge
792; Legend; 49; 19; Mid; Bristleback
793; Guardian; 74; 18; Hardlane; Arc warden
794; Ancient; 86; 26; Hardlane; Axe
795; Guardian; 42; 28; Carry; Rikki
796; Guardian; 69; 5; Mid; Monkey king
797; Herald; 16; 2; Carry; Arc warden
798; Crusader; 15; 18; Support; Pudge
799; Legend; 27; 14; Support; Phantom lancer
800; Guardian; 75; 16; Mid; Monkey king
801; Guardian; 32; 7; Hardlane; Weaver
802; Herald; 11; 21; Hardlane; Arc warden
803; Guardian; 65; 15; Support; Warlock
804; Guardian; 84; 1; Hardlane; Techies
805; Guardian; 58; 5; Semi-support; Crystall maiden
806; Herald; 61; 0; Semi-support; Phantom lancer
807; Legend; 85; 18; Support; Jakiro
808; Ancient; 80; 0; Carry; Axe
809; Archon; 17; 1; Support; Phantom lancer
810; Herald; 26; 16; Carry; Rikki
811; Ancient; 67; 12; Support; Jakiro
812; Guardian; 12; 8; Carry; Wraith king
813; Herald; 41; 6; Hardlane; Rikki
814; Ancient; 12; 25; Carry; Phantom lancer
815; Herald; 82; 1; Semi-support; Rikki
816; Ancient; 23; 13; Semi-support; Arc warden
817; Guardian; 87; 11; Hardlane; Bristleback
818; Ancient; 14; 8; Support; Bristleback
819; Crusader; 42; 23; Support; Warlock
820; Guardian; 47; 22; Mid; Jakiro
821; Crusader; 32; 23; Support; Techies
822; Legend; 70; 25; Hardlane; Wraith king
823; Legend; 84; 7; Mid; Axe
824; Guardian; 21; 10; Support; Axe
825; Herald; 24; 16; Carry; Phantom lancer
826; Ancient; 89; 20; Mid; Pudge
827; Crusader; 66; 9; Support; Axe
828; Crusader; 57; 3; Semi-support; Arc warden
829; Guardian; 46; 25; Support; Techies
830; Legend; 70; 21; Support; Monkey king
831; Ancient; 63; 20; Hardlane; Weaver
832; Herald; 84; 9; Support; Axe
833; Crusader; 79; 9; Hardlane; Monkey king
834; Herald; 64; 14; Support; Techies
835; Herald; 21; 7; Support; Monkey king
836; Ancient; 48; 1; Mid; Invoker
837; Guardian; 36; 27; Carry; Crystall maiden
838; Ancient; 21; 6; Semi-support; Monkey king
839; Guardian; 84; 6; Carry; Jakiro
840; Legend; 22; 7; Hardlane; Monkey king
841; Archon; 50; 28; Mid; Wraith king
842; Crusader; 19; 12; Hardlane; Crystall maiden
843; Legend; 77; 10; Mid; Warlock
844; Legend; 27; 10; Hardlane; Arc warden
845; Crusader; 55; 20; Mid; Techies
846; Legend; 52; 17; Carry; Witch doctor
847; Guardian; 60; 21; Mid; Phantom lancer
848; Guardian; 16; 2; Semi-support; Jakiro
849; Legend; 20; 26; Carry; Bristleback
850; Archon; 13; 13; Hardlane; Monkey king
851; Legend; 71; 2; Hardlane; Axe
852; Archon; 88; 22; Mid; Bristleback
853; Herald; 27; 15; Support; Bristleback
854; Archon; 28; 4; Carry; Invoker
855; Archon; 28; 1; Support; Warlock
856; Guardian; 25; 18; Mid; Jakiro
857; Legend; 45; 12; Mid; Jakiro
858; Crusader; 30; 16; Semi-support; Techies
859; Herald; 16; 1; Carry; Phantom lancer
860; Crusader; 34; 13; Carry; Phantom lancer
861; Crusader; 86; 19; Hardlane; Pudge
862; Legend; 30; 23; Mid; Monkey king
863; Archon; 26; 30; Hardlane; Jakiro
864; Archon; 66; 15; Semi-support; Crystall maiden
865; Crusader; 65; 30; Semi-support; Crystall maiden
866; Crusader; 46; 4; Semi-support; Axe
867; Crusader; 87; 23; Semi-support; Monkey king
868; Guardian; 15; 20; Carry; Wraith king
869; Crusader; 50; 18; Semi-support; Weaver
870; Ancient; 19; 26; Mid; Techies
871; Guardian; 54; 14; Semi-support; Phantom lancer
872; Guardian; 21; 12; Semi-support; Wraith king
873; Guardian; 25; 10; Hardlane; Arc warden
874; Crusader; 14; 7; Hardlane; Weaver
875; Crusader; 90; 22; Carry; Techies
876; Guardian; 74; 30; Hardlane; Pudge
877; Ancient; 27; 12; Hardlane; Wraith king
878; Ancient; 41; 8; Support; Axe
879; Legend; 34; 3; Carry; Warlock
880; Ancient; 24; 2; Support; Jakiro
881; Guardian; 28; 16; Hardlane; Warlock
882; Herald; 28; 14; Hardlane; Techies
883; Legend; 84; 17; Semi-support; Witch doctor
884; Archon; 13; 22; Mid; Rikki
885; Legend; 57; 12; Carry; Arc warden
886; Archon; 56; 5; Carry; Phantom lancer
887; Legend; 80; 15; Carry; Weaver
888; Ancient; 60; 2; Carry; Arc warden
889; Ancient; 56; 0; Mid; Warlock
890; Archon; 16; 27; Mid; Axe
891; Guardian; 65; 29; Hardlane; Jakiro
892; Herald; 22; 17; Hardlane; Witch doctor
893; Guardian; 52; 2; Support; Rikki
894; Archon; 42; 29; Mid; Warlock
895; Ancient; 18; 19; Semi-support; Crystall maiden
896; Herald; 30; 7; Support; Bristleback
897; Herald; 88; 10; Carry; Pudge
898; Guardian; 74; 12; Support; Pudge
899; Crusader; 48; 3; Semi-support; Witch doctor
900; Legend; 70; 0; Mid; Phantom lancer
901; Guardian; 53; 27; Mid; Crystall maiden
902; Legend; 85; 8; Carry; Weaver
903; Legend; 39; 23; Carry; Invoker
904; Archon; 15; 2; Semi-support; Wraith king
905; Legend; 26; 6; Support; Warlock
906; Legend; 22; 13; Support; Bristleback
907; Herald; 45; 17; Hardlane; Warlock
908; Guardian; 25; 15; Hardlane; Jakiro
909; Ancient; 16; 7; Hardlane; Arc warden
910; Herald; 42; 20; Support; Arc warden
911; Crusader; 69; 9; Carry; Weaver
912; Guardian; 75; 2; Mid; Wraith king
913; Herald; 12; 18; Hardlane; Monkey king
914; Legend; 82; 6; Carry; Crystall maiden
915; Legend; 40; 28; Carry; Jakiro
916; Archon; 24; 5; Support; Crystall maiden
917; Herald; 21; 8; Carry; Monkey king
918; Legend; 57; 24; Support; Pudge
919; Crusader; 61; 0; Carry; Jakiro
920; Crusader; 12; 24; Carry; Bristleback
921; Legend; 41; 10; Carry; Rikki
922; Archon; 15; 26; Support; Phantom lancer
923; Guardian; 34; 15; Hardlane; Monkey king
924; Herald; 14; 25; Carry; Invoker
925; Guardian; 77; 25; Semi-support; Weaver
926; Ancient; 73; 16; Support; Witch doctor
927; Legend; 32; 0; Carry; Witch doctor
928; Legend; 37; 26; Hardlane; Invoker
929; Archon; 38; 12; Hardlane; Warlock
930; Legend; 32; 30; Carry; Warlock
931; Ancient; 78; 24; Carry; Axe
932; Archon; 32; 10; Hardlane; Warlock
933; Guardian; 52; 2; Hardlane; Crystall maiden
934; Archon; 59; 23; Semi-support; Rikki
935; Archon; 28; 18; Semi-support; Wraith king
936; Guardian; 73; 5; Support; Crystall maiden
937; Crusader; 35; 2; Semi-support; Jakiro
938; Archon; 12; 23; Semi-support; Crystall maiden
939; Ancient; 24; 14; Support; Arc warden
940; Crusader; 55; 29; Hardlane; Arc warden
941; Legend; 43; 10; Carry; Phantom lancer
942; Ancient; 41; 14; Carry; Wraith king
943; Legend; 22; 3; Semi-support; Arc warden
944; Ancient; 25; 19; Mid; Techies
945; Herald; 84; 17; Mid; Techies
946; Ancient; 56; 8; Hardlane; Wraith king
947; Ancient; 33; 24; Semi-support; Invoker
948; Crusader; 15; 9; Carry; Pudge
949; Legend; 46; 25; Mid; Weaver
950; Guardian; 85; 16; Mid; Axe
951; Legend; 83; 23; Semi-support; Warlock
952; Ancient; 74; 20; Mid; Pudge
953; Guardian; 53; 18; Carry; Axe
954; Ancient; 84; 11; Hardlane; Invoker
955; Guardian; 33; 14; Semi-support; Wraith king
956; Crusader; 74; 2; Hardlane; Jakiro
957; Crusader; 85; 20; Hardlane; Axe
958; Ancient; 83; 15; Mid; Bristleback
959; Crusader; 71; 0; Hardlane; Phantom lancer
960; Guardian; 51; 16; Mid; Invoker
961; Archon; 49; 29; Semi-support; Axe
962; Crusader; 71; 8; Semi-support; Invoker
963; Herald; 50; 12; Semi-support; Phantom lancer
964; Crusader; 25; 23; Mid; Pudge
965; Guardian; 52; 12; Mid; Arc warden
966; Herald; 72; 21; Support; Rikki
967; Guardian; 89; 8; Carry; Pudge
968; Guardian; 86; 11; Carry; Phantom lancer
969; Archon; 54; 5; Semi-support; Weaver
970; Herald; 30; 5; Support; Witch doctor
971; Archon; 90; 11; Hardlane; Wraith king
972; Crusader; 23; 17; Semi-support; Axe
973; Ancient; 15; 0; Semi-support; Bristleback
974; Legend; 76; 28; Support; Monkey king
975; Herald; 50; 3; Mid; Weaver
976; Crusader; 20; 7; Mid; Warlock
977; Herald; 25; 8; Support; Crystall maiden
978; Legend; 34; 14; Support; Jakiro
979; Ancient; 66; 12; Support; Invoker
980; Ancient; 75; 15; Semi-support; Techies
981; Legend; 77; 2; Support; Rikki
982; Legend; 42; 4; Semi-support; Phantom lancer
983; Herald; 58; 13; Semi-support; Wraith king
984; Archon; 16; 2; Support; Phantom lancer
985; Guardian; 23; 22; Semi-support; Wraith king
986; Archon; 54; 22; Hardlane; Arc warden
987; Legend; 37; 17; Hardlane; Axe
988; Legend; 50; 12; Mid; Arc warden
989; Crusader; 66; 14; Support; Techies
990; Crusader; 37; 20; Carry; Wraith king
991; Ancient; 19; 24; Mid; Monkey king
992; Herald; 62; 29; Carry; Phantom lancer
993; Guardian; 89; 7; Mid; Techies
994; Legend; 32; 29; Hardlane; Weaver
995; Archon; 84; 2; Mid; Bristleback
996; Ancient; 58; 4; Support; Rikki
997; Herald; 63; 19; Support; Weaver
998; Crusader; 78; 18; Semi-support; Pudge
999; Crusader; 38; 18; Hardlane; Pudge
1000; Archon; 80; 3; Mid; Witch doctor
